"table_schema","table_name","ordinal_position","column_name","data_type","udt_name","is_nullable","column_default","character_maximum_length","numeric_precision","numeric_scale","datetime_precision","is_primary_key","is_unique","is_foreign_key","foreign_table_schema","foreign_table_name","foreign_column_name"
public,case_reports,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,true,false,false,,,
public,case_reports,2,case_id,uuid,uuid,NO,,,,,,false,true,true,public,cases,id
public,case_reports,3,dispute_type,text,text,NO,,,,,,false,false,false,,,
public,case_reports,4,customer_name,text,text,NO,,,,,,false,false,false,,,
public,case_reports,5,customer_email,text,text,NO,,,,,,false,false,false,,,
public,case_reports,6,order_id,text,text,NO,,,,,,false,false,false,,,
public,case_reports,7,intent_classification,text,text,NO,,,,,,false,false,false,,,
public,case_reports,8,data_sources_queried,ARRAY,_text,NO,,,,,,false,false,false,,,
public,case_reports,9,policies_applied,ARRAY,_text,NO,,,,,,false,false,false,,,
public,case_reports,10,slas_applied,ARRAY,_text,NO,,,,,,false,false,false,,,
public,case_reports,11,triage_decision,jsonb,jsonb,NO,,,,,,false,false,false,,,
public,case_reports,12,resolution_path,text,text,NO,,,,,,false,false,false,,,
public,case_reports,13,approval_outcome,text,text,YES,,,,,,false,false,false,,,
public,case_reports,14,rejection_reason,text,text,YES,,,,,,false,false,false,,,
public,case_reports,15,resolution_actions,jsonb,jsonb,YES,,,,,,false,false,false,,,
public,case_reports,16,outcome_summary,text,text,NO,,,,,,false,false,false,,,
public,case_reports,17,close_reason,text,text,NO,,,,,,false,false,false,,,
public,case_reports,18,generated_at,timestamp with time zone,timestamptz,YES,now(),,,,6,false,false,false,,,
public,cases,1,id,uuid,uuid,NO,gen_random_uuid(),,,,,true,false,false,,,
public,cases,2,reference_number,text,text,NO,,,,,,false,true,false,,,
public,cases,3,order_id,text,text,NO,,,,,,false,false,false,,,
public,cases,4,dispute_type,text,text,NO,,,,,,false,false,false,,,
public,cases,5,customer_name,text,text,NO,,,,,,false,false,false,,,
public,cases,6,customer_email,text,text,NO,,,,,,false,false,false,,,
public,cases,7,intake_message,text,text,NO,,,,,,false,false,false,,,
public,cases,8,status,text,text,NO,'pending_triage'::text,,,,,false,false,false,,,
